(44, 1, 1)
(152, 1, 1)
(219, 2, 1)
(295, 2, 1)
(379, 2, 1)
(374, 2, 1)
(477, 3, 1)
(586, 3, 1)
(651, 4, 1)
(675, 4, 1)
(719, 4, 1)
(750, 4, 1)
(800, 4, 1)
(908, 5, 1)
(49007, 246, 1)
(49060, 246, 1)
(49129, 246, 1)
(49143, 246, 1)
(49163, 246, 1)
(49164, 246, 1)
(49204, 247, 1)
(49292, 247, 1)
(49299, 247, 1)
(49601, 249, 1)
(49621, 249, 1)
(49732, 249, 1)
(3269, 17, 1)
(3545, 18, 1)
(3574, 18, 1)
(3657, 19, 1)
(3950, 20, 1)
(3985, 20, 1)
(14022, 71, 1)
(14330, 72, 1)
(14335, 72, 1)
(14402, 73, 1)
(14404, 73, 1)
(14668, 74, 1)
(14680, 74, 1)
(14747, 74, 1)
(14789, 74, 1)
(6146, 31, 1)
(6176, 31, 1)
(6206, 32, 1)
(6418, 33, 1)
(6506, 33, 1)
(6487, 33, 1)
(6540, 33, 1)
(6587, 33, 1)
(6748, 34, 1)
(6782, 34, 1)
(6818, 35, 1)
(6803, 35, 1)
(6867, 35, 1)
(7108, 36, 1)
(7274, 37, 1)
(7366, 37, 1)
(7421, 38, 1)
(7519, 38, 1)
(7531, 38, 1)
(7501, 38, 1)
(7552, 38, 1)
(7814, 40, 1)
(7831, 40, 1)
(7868, 40, 1)
(7948, 40, 1)
(7959, 40, 1)
(7988, 40, 1)
(7998, 40, 1)
(80074, 401, 1)
(80150, 401, 1)
(80155, 401, 1)
(80234, 402, 1)
(80268, 402, 1)
(80251, 402, 1)
(80293, 402, 1)
(80340, 402, 1)
(80471, 403, 1)
(80528, 403, 1)
(80520, 403, 1)
(80581, 403, 1)
(80588, 403, 1)
(80694, 404, 1)
(80770, 404, 1)
(80834, 405, 1)
(80879, 405, 1)
(80952, 405, 1)
(80974, 405, 1)
(80999, 405, 1)
(182449, 914, 1)
(182496, 914, 1)
(182498, 914, 1)
(182478, 914, 1)
(182611, 914, 1)
(182604, 914, 1)
(182818, 915, 1)
(182860, 916, 1)
(182889, 916, 1)
(182917, 916, 1)
(182944, 916, 1)
(183010, 916, 1)
(16939, 85, 1)
(16959, 85, 1)
(16927, 85, 1)
(16987, 85, 1)
(34024, 171, 1)
(34195, 171, 1)
(34259, 172, 1)
(34288, 172, 1)
(34609, 174, 1)
(34672, 174, 1)
(34791, 174, 1)
(34838, 175, 1)
(34865, 175, 1)
(60044, 301, 1)
(60046, 301, 1)
(60091, 301, 1)
(60103, 301, 1)
(60134, 301, 1)
(60159, 301, 1)
(60247, 302, 1)
(60345, 302, 1)
(60398, 302, 1)
(60416, 303, 1)
(60465, 303, 1)
(60459, 303, 1)
(60547, 303, 1)
(60559, 303, 1)
(48714, 244, 1)
(48794, 244, 1)
(48864, 245, 1)
(48966, 245, 1)
(134984, 676, 1)
(134991, 676, 1)
(135045, 676, 1)
(135059, 676, 1)
(135076, 676, 1)
(135105, 676, 1)
(135196, 677, 1)
(135216, 677, 1)
(135313, 677, 1)
(135483, 678, 1)
(135566, 679, 1)
(135590, 679, 1)
(135630, 679, 1)
(135720, 680, 1)
(135878, 680, 1)
(147974, 741, 1)
(148003, 741, 1)
(148030, 741, 1)
(148033, 741, 1)
(148162, 742, 1)
(148198, 742, 1)
(148239, 742, 1)
(148236, 742, 1)
(148283, 742, 1)
(60734, 304, 1)
(60762, 304, 1)
(60756, 304, 1)
(60996, 305, 1)
(84007, 421, 1)
(84038, 421, 1)
(84153, 421, 1)
(84165, 421, 1)
(84140, 421, 1)
(84192, 421, 1)
(84190, 421, 1)
(84242, 422, 1)
(84291, 422, 1)
(84328, 422, 1)
(84318, 422, 1)
(84415, 423, 1)
(84490, 423, 1)
(84567, 423, 1)
(84584, 423, 1)
(84611, 424, 1)
(84683, 424, 1)
(84783, 424, 1)
(84784, 424, 1)
(84887, 425, 1)
(84948, 425, 1)
(84976, 425, 1)
(89026, 446, 1)
(89124, 446, 1)
(89166, 446, 1)
(89400, 447, 1)
(94529, 474, 1)
(94655, 474, 1)
(94663, 474, 1)
(94742, 475, 1)
(94768, 475, 1)
(94769, 475, 1)
(94861, 475, 1)
(94885, 475, 1)
(109948, 551, 1)
(110022, 551, 1)
(110035, 551, 1)
(110041, 551, 1)
(110213, 552, 1)
(110306, 552, 1)
(110308, 552, 1)
(110460, 553, 1)
(110483, 553, 1)
(110474, 553, 1)
(110567, 554, 1)
(110641, 554, 1)
(110704, 554, 1)
(110719, 555, 1)
(110740, 555, 1)
(110796, 555, 1)
(110824, 555, 1)
(110880, 555, 1)
(160976, 806, 1)
(161002, 806, 1)
(160998, 806, 1)
(161015, 806, 1)
(161037, 806, 1)
(161070, 806, 1)
(161081, 806, 1)
(161114, 806, 1)
(161246, 807, 1)
(161276, 807, 1)
(232879, 1166, 1)
(232886, 1166, 1)
(232912, 1166, 1)
(232966, 1166, 1)
(232989, 1166, 1)
(233016, 1166, 1)
(233213, 1167, 1)
(233217, 1167, 1)
(233286, 1168, 1)
(233318, 1168, 1)
(233436, 1168, 1)
(240439, 1204, 1)
(240573, 1204, 1)
(240589, 1204, 1)
(240595, 1204, 1)
(240620, 1204, 1)
(240889, 1206, 1)
(240961, 1206, 1)
(240984, 1206, 1)
(241003, 1206, 1)
(241153, 1207, 1)
(241195, 1207, 1)
(241278, 1208, 1)
(241270, 1208, 1)
(241346, 1208, 1)
(1101, 6, 1)
(1214, 7, 1)
(1218, 7, 1)
(1277, 7, 1)
(1274, 7, 1)
(1393, 7, 1)
(1411, 8, 1)
(1435, 8, 1)
(1438, 8, 1)
(1464, 8, 1)
(1478, 8, 1)
(1549, 8, 1)
(1749, 9, 1)
(1837, 10, 1)
(138017, 691, 1)
(138084, 691, 1)
(138127, 692, 1)
(138252, 692, 1)
(138251, 692, 1)
(138368, 693, 1)
(138370, 693, 1)
(138391, 693, 1)
(138399, 693, 1)
(138473, 693, 1)
(138469, 693, 1)
(138718, 694, 1)
(5174, 26, 1)
(5241, 27, 1)
(5262, 27, 1)
(5283, 27, 1)
(5343, 27, 1)
(5598, 28, 1)
(5582, 28, 1)
(5606, 29, 1)
(5618, 29, 1)
(5646, 29, 1)
(5784, 29, 1)
(5827, 30, 1)
(5898, 30, 1)
(5918, 30, 1)
(5934, 30, 1)
(5989, 30, 1)
(58040, 291, 1)
(58078, 291, 1)
(58071, 291, 1)
(58129, 291, 1)
(58173, 291, 1)
(58180, 291, 1)
(58210, 292, 1)
(58214, 292, 1)
(58326, 292, 1)
(58441, 293, 1)
(58458, 293, 1)
(58571, 293, 1)
(58669, 294, 1)
(58765, 294, 1)
(49810, 250, 1)
(49829, 250, 1)
(51104, 256, 1)
(51126, 256, 1)
(51127, 256, 1)
(51138, 256, 1)
(51199, 256, 1)
(51315, 257, 1)
(51454, 258, 1)
(51505, 258, 1)
(51547, 258, 1)
(51590, 258, 1)
(51600, 258, 1)
(51657, 259, 1)
(51645, 259, 1)
(51684, 259, 1)
(51718, 259, 1)
(51737, 259, 1)
(51859, 260, 1)
(51947, 260, 1)
(51957, 260, 1)
(66007, 331, 1)
(66263, 332, 1)
(66280, 332, 1)
(66386, 332, 1)
(66383, 332, 1)
(66418, 333, 1)
(66449, 333, 1)
(66468, 333, 1)
(66495, 333, 1)
(89597, 448, 1)
(89633, 449, 1)
(89627, 449, 1)
(89638, 449, 1)
(89640, 449, 1)
(89643, 449, 1)
(89696, 449, 1)
(89742, 449, 1)
(89823, 450, 1)
(89864, 450, 1)
(89918, 450, 1)
(101937, 511, 1)
(101944, 511, 1)
(101950, 511, 1)
(102068, 511, 1)
(102119, 512, 1)
(102165, 512, 1)
(102258, 512, 1)
(102336, 513, 1)
(102466, 513, 1)
(102615, 514, 1)
(102640, 514, 1)
(102700, 514, 1)
(102778, 515, 1)
(103941, 521, 1)
(104097, 521, 1)
(155326, 778, 1)
(155352, 778, 1)
(155370, 778, 1)
(155420, 778, 1)
(155432, 778, 1)
(155628, 779, 1)
(155744, 780, 1)
(155802, 780, 1)
(155856, 780, 1)
(158977, 796, 1)
(159004, 796, 1)
(159005, 796, 1)
(159185, 797, 1)
(159219, 797, 1)
(159323, 798, 1)
(159326, 798, 1)
(159459, 798, 1)
(159556, 799, 1)
(159608, 799, 1)
(159755, 800, 1)
(159761, 800, 1)
(159849, 800, 1)
(159884, 800, 1)
(171919, 861, 1)
(172017, 861, 1)
(172208, 862, 1)
(172197, 862, 1)
(172232, 862, 1)
(172247, 862, 1)
(172266, 862, 1)
(172284, 862, 1)
(172624, 864, 1)
(172616, 864, 1)
(172777, 865, 1)
(172812, 865, 1)
(172852, 865, 1)
(172853, 865, 1)
(172851, 865, 1)
(196085, 982, 1)
(196203, 982, 1)
(196244, 983, 1)
(202461, 1014, 1)
(202456, 1014, 1)
(202685, 1015, 1)
(202826, 1015, 1)
(202865, 1016, 1)
(202887, 1016, 1)
(202904, 1016, 1)
(202935, 1016, 1)
(202977, 1016, 1)
(202997, 1016, 1)
(203066, 1017, 1)
(203093, 1017, 1)
(203098, 1017, 1)
(203119, 1017, 1)
(203140, 1017, 1)
(204605, 1024, 1)
(204616, 1024, 1)
(204669, 1025, 1)
(204680, 1025, 1)
(204665, 1025, 1)
(204654, 1025, 1)
(204833, 1025, 1)
(228913, 1146, 1)
(228938, 1146, 1)
(229082, 1147, 1)
(229150, 1147, 1)
(229153, 1147, 1)
(229172, 1147, 1)
(229217, 1147, 1)
(229224, 1147, 1)
(229245, 1148, 1)
(229265, 1148, 1)
(229275, 1148, 1)
(249468, 1249, 1)
(249579, 1249, 1)
(249664, 1250, 1)
(249768, 1250, 1)
(249803, 1250, 1)
(249845, 1251, 1)
(249893, 1251, 1)
(249998, 1251, 1)
(235787, 1180, 1)
(235791, 1180, 1)
(235942, 1181, 1)
(235980, 1181, 1)
(235971, 1181, 1)
(236018, 1181, 1)
(236062, 1182, 1)
(236116, 1182, 1)
(236179, 1182, 1)
(236293, 1183, 1)
(236309, 1183, 1)
(236424, 1183, 1)
(237510, 1189, 1)
(237529, 1189, 1)
(237643, 1190, 1)
(237699, 1190, 1)
(237709, 1190, 1)
(237786, 1190, 1)
(237815, 1190, 1)
(237857, 1191, 1)
(237946, 1191, 1)
(237947, 1191, 1)
(237980, 1191, 1)
(238002, 1191, 1)
(238073, 1192, 1)
(238101, 1192, 1)
(238128, 1192, 1)
(238233, 1192, 1)
(238324, 1193, 1)
(238318, 1193, 1)
(238354, 1193, 1)
(238338, 1193, 1)
(238373, 1193, 1)
(238397, 1193, 1)
(238391, 1193, 1)
(243438, 1219, 1)
(243468, 1219, 1)
(243610, 1219, 1)
(243694, 1220, 1)
(243789, 1220, 1)
(243815, 1220, 1)
(243891, 1221, 1)
(243895, 1221, 1)
(243905, 1221, 1)
(243997, 1221, 1)
(244026, 1221, 1)
(244042, 1222, 1)
(244194, 1222, 1)
(244281, 1223, 1)
(244317, 1223, 1)
(244337, 1223, 1)
(2219, 12, 1)
(2333, 12, 1)
(2435, 13, 1)
(2450, 13, 1)
(2488, 13, 1)
(2760, 14, 1)
(2761, 14, 1)
(2826, 15, 1)
(2841, 15, 1)
(2936, 15, 1)
(2947, 15, 1)
(2983, 15, 1)
(2985, 15, 1)
(16057, 81, 1)
(16088, 81, 1)
(16315, 82, 1)
(16573, 83, 1)
(16635, 84, 1)
(8207, 42, 1)
(8345, 42, 1)
(8538, 43, 1)
(8542, 43, 1)
(8556, 43, 1)
(8642, 44, 1)
(8681, 44, 1)
(8716, 44, 1)
(8783, 44, 1)
(8810, 45, 1)
(8919, 45, 1)
(8963, 45, 1)
(8960, 45, 1)
(18109, 91, 1)
(18192, 91, 1)
(18190, 91, 1)
(18196, 91, 1)
(18262, 92, 1)
(18353, 92, 1)
(18456, 93, 1)
(18491, 93, 1)
(18533, 93, 1)
(18584, 93, 1)
(18616, 94, 1)
(14831, 75, 1)
(14910, 75, 1)
(14924, 75, 1)
(38064, 191, 1)
(38086, 191, 1)
(38215, 192, 1)
(38227, 192, 1)
(38222, 192, 1)
(38253, 192, 1)
(38286, 192, 1)
(38325, 192, 1)
(38393, 192, 1)
(38521, 193, 1)
(38620, 194, 1)
(38684, 194, 1)
(38674, 194, 1)
(38776, 194, 1)
(38828, 195, 1)
(38977, 195, 1)
(92002, 461, 1)
(92194, 462, 1)
(92339, 463, 1)
(92444, 463, 1)
(92487, 463, 1)
(21984, 110, 1)
(25045, 126, 1)
(25134, 126, 1)
(25150, 126, 1)
(25168, 126, 1)
(25194, 126, 1)
(25241, 127, 1)
(25307, 127, 1)
(25313, 127, 1)
(25321, 127, 1)
(25310, 127, 1)
(25378, 127, 1)
(25424, 128, 1)
(25425, 128, 1)
(25440, 128, 1)
(25452, 128, 1)
(25458, 128, 1)
(25544, 128, 1)
(25543, 128, 1)
(25598, 128, 1)
(25618, 129, 1)
(25692, 129, 1)
(25693, 129, 1)
(25736, 129, 1)
(25803, 130, 1)
(25928, 130, 1)
(25951, 130, 1)
(48046, 241, 1)
(48076, 241, 1)
(48084, 241, 1)
(48200, 241, 1)
(48209, 242, 1)
(48204, 242, 1)
(48376, 242, 1)
(48382, 242, 1)
(48420, 243, 1)
(48428, 243, 1)
(48427, 243, 1)
(48500, 243, 1)
(48551, 243, 1)
(79612, 399, 1)
(79615, 399, 1)
(79633, 399, 1)
(79671, 399, 1)
(79916, 400, 1)
(79924, 400, 1)
(79955, 400, 1)
(79970, 400, 1)
(129018, 646, 1)
(129029, 646, 1)
(129012, 646, 1)
(129124, 647, 1)
(129132, 647, 1)
(129318, 647, 1)
(129611, 649, 1)
(129686, 649, 1)
(129751, 650, 1)
(129783, 650, 1)
(129826, 650, 1)
(190449, 954, 1)
(190452, 954, 1)
(190475, 954, 1)
(190494, 954, 1)
(190540, 954, 1)
(190789, 955, 1)
(117345, 588, 1)
(117431, 588, 1)
(117432, 588, 1)
(117456, 588, 1)
(117489, 588, 1)
(117552, 589, 1)
(117624, 589, 1)
(117633, 589, 1)
(117713, 589, 1)
(117746, 590, 1)
(117801, 590, 1)
(117800, 590, 1)
(117864, 590, 1)
(119086, 596, 1)
(119190, 597, 1)
(119204, 597, 1)
(119199, 597, 1)
(119198, 597, 1)
(119387, 598, 1)
(119437, 598, 1)
(119528, 599, 1)
(119530, 599, 1)
(119606, 599, 1)
(119699, 599, 1)
(119808, 600, 1)
(119809, 600, 1)
(119800, 600, 1)
(119901, 600, 1)
(119915, 600, 1)
(153009, 766, 1)
(152987, 766, 1)
(143129, 717, 1)
(143154, 717, 1)
(143263, 717, 1)
(143313, 717, 1)
(143394, 718, 1)
(143564, 719, 1)
(143608, 719, 1)
(143611, 719, 1)
(143621, 719, 1)
(143663, 719, 1)
(143822, 720, 1)
(143883, 720, 1)
(143910, 720, 1)
(166086, 831, 1)
(166210, 832, 1)
(166218, 832, 1)
(166328, 833, 1)
(166400, 833, 1)
(166417, 833, 1)
(166458, 833, 1)
(166746, 835, 1)
(166896, 835, 1)
(185970, 931, 1)
(186016, 931, 1)
(186059, 932, 1)
(186237, 933, 1)
(186397, 933, 1)
(186425, 933, 1)
(186434, 933, 1)
(194454, 974, 1)
(194509, 974, 1)
(194519, 974, 1)
(194648, 975, 1)
(194695, 975, 1)
(194691, 975, 1)
(194825, 975, 1)
(195003, 976, 1)
(195016, 976, 1)
(195054, 977, 1)
