(97530, 201, 1)
(111772, 230, 1)
(112048, 230, 1)
(139775, 287, 1)
(22322, 46, 1)
(114536, 235, 1)
(220641, 454, 1)
(116339, 239, 1)
(127842, 263, 1)
(129810, 267, 1)
(130523, 268, 1)
(146873, 302, 1)
(148059, 304, 1)
(343393, 706, 1)
(172650, 355, 1)
(151118, 311, 1)
(55734, 115, 1)
(55730, 115, 1)
(183602, 378, 1)
(193271, 397, 1)
(297566, 611, 1)
(101736, 209, 1)
(123800, 255, 1)
(213143, 438, 1)
(239732, 493, 1)
(124741, 257, 1)
(124918, 257, 1)
(179826, 369, 1)
(336721, 692, 1)
(446956, 918, 1)
(247803, 509, 1)
(300501, 617, 1)
(483973, 995, 1)
(256799, 528, 1)
(257136, 528, 1)
(258828, 532, 1)
(310278, 638, 1)
(541124, 1112, 1)
(89431, 184, 1)
(298648, 614, 1)
(30498, 63, 1)
(30550, 63, 1)
(60368, 124, 1)
(219912, 452, 1)
(301488, 619, 1)
(607835, 1249, 1)
(186228, 383, 1)
(304545, 626, 1)
(330399, 679, 1)
(41169, 85, 1)
(442293, 909, 1)
(505909, 1039, 1)
(511975, 1052, 1)
(590101, 1212, 1)
(590471, 1213, 1)
(57010, 117, 1)
(207857, 427, 1)
(291776, 600, 1)
(209728, 431, 1)
(209763, 431, 1)
(210276, 432, 1)
(311514, 640, 1)
(322523, 663, 1)
(118194, 243, 1)
(326782, 671, 1)
(383071, 787, 1)
(342312, 703, 1)
(341666, 702, 1)
(501649, 1031, 1)
(497845, 1023, 1)
(554175, 1139, 1)
(361271, 742, 1)
(430277, 884, 1)
(465034, 956, 1)
(561192, 1153, 1)
(562168, 1155, 1)
(582069, 1196, 1)
(588412, 1209, 1)
(477464, 981, 1)
(481395, 989, 1)
(535930, 1101, 1)
(536460, 1102, 1)
(564565, 1160, 1)
(571281, 1174, 1)
(572448, 1176, 1)
(580947, 1194, 1)
(583539, 1199, 1)
(585696, 1203, 1)
(11095, 23, 1)
(36619, 76, 1)
(38620, 80, 1)
(40093, 83, 1)
(178752, 367, 1)
(256498, 527, 1)
(260514, 535, 1)
(168174, 346, 1)
(201554, 414, 1)
(201577, 414, 1)
(281731, 579, 1)
(282103, 580, 1)
(329141, 676, 1)
(456810, 939, 1)
(474018, 974, 1)
(548533, 1127, 1)
(548571, 1127, 1)
(549090, 1128, 1)
(45278, 93, 1)
(78257, 161, 1)
(224006, 460, 1)
(233967, 481, 1)
(255097, 524, 1)
(265241, 545, 1)
(272965, 561, 1)
(283009, 582, 1)
(318095, 654, 1)
(320114, 658, 1)
(73251, 151, 1)
(73275, 151, 1)
(71510, 147, 1)
(143534, 295, 1)
(94799, 195, 1)
(158734, 326, 1)
(162965, 335, 1)
(190854, 392, 1)
(191064, 393, 1)
(508769, 1045, 1)
(188804, 388, 1)
(197977, 407, 1)
(340225, 699, 1)
(307760, 633, 1)
(308038, 633, 1)
(390375, 802, 1)
(499270, 1026, 1)
(542359, 1114, 1)
(242615, 499, 1)
(262272, 539, 1)
(339444, 698, 1)
(351955, 723, 1)
(356245, 732, 1)
(369493, 759, 1)
(369618, 760, 1)
(538180, 1106, 1)
(250119, 514, 1)
(277003, 569, 1)
(302716, 622, 1)
(476581, 979, 1)
(486975, 1001, 1)
(486880, 1000, 1)
(494823, 1017, 1)
(302956, 623, 1)
(307660, 632, 1)
(318649, 655, 1)
(319700, 657, 1)
(514374, 1057, 1)
(524034, 1077, 1)
(524233, 1077, 1)
(560343, 1151, 1)
(560338, 1151, 1)
(312686, 643, 1)
(327899, 674, 1)
(348845, 717, 1)
(349312, 718, 1)
(349664, 718, 1)
(470086, 966, 1)
(471323, 968, 1)
(490543, 1008, 1)
(508068, 1044, 1)
(521041, 1071, 1)
(521895, 1072, 1)
(517318, 1063, 1)
(525781, 1080, 1)
(7352, 16, 1)
(213405, 439, 1)
(217115, 446, 1)
(384009, 789, 1)
(533469, 1096, 1)
(410201, 843, 1)
(414458, 852, 1)
(449802, 924, 1)
(454006, 933, 1)
(454152, 933, 1)
(496007, 1019, 1)
(537485, 1104, 1)
(64105, 132, 1)
(87426, 180, 1)
(90418, 186, 1)
(95926, 197, 1)
(109810, 226, 1)
(92487, 190, 1)
(350573, 720, 1)
(377615, 776, 1)
(397380, 817, 1)
(397684, 817, 1)
(432429, 889, 1)
(435506, 895, 1)
(368045, 756, 1)
(403063, 828, 1)
(403140, 828, 1)
(428377, 880, 1)
(431281, 886, 1)
(493711, 1014, 1)
(500670, 1029, 1)
(520670, 1070, 1)
(551175, 1133, 1)
(602543, 1238, 1)
(3137, 7, 1)
(103588, 213, 1)
(104132, 214, 1)
(141744, 291, 1)
(141882, 292, 1)
(157502, 324, 1)
(206654, 425, 1)
(380696, 782, 1)
(451351, 927, 1)
(526102, 1081, 1)
(530625, 1090, 1)
(562945, 1157, 1)
(563373, 1157, 1)
(563418, 1157, 1)
(570309, 1172, 1)
