(453, 1, 1)
(484, 1, 1)
(646, 2, 1)
(4937, 11, 1)
(5812, 12, 1)
(60657, 125, 1)
(60996, 126, 1)
(61113, 126, 1)
(64907, 134, 1)
(65015, 134, 1)
(65141, 134, 1)
(78681, 162, 1)
(79146, 163, 1)
(79592, 164, 1)
(92991, 191, 1)
(93197, 192, 1)
(93357, 192, 1)
(93406, 192, 1)
(97708, 201, 1)
(98145, 202, 1)
(98284, 202, 1)
(98336, 202, 1)
(104653, 215, 1)
(105012, 216, 1)
(111335, 229, 1)
(111698, 230, 1)
(113508, 233, 1)
(113620, 234, 1)
(113660, 234, 1)
(139829, 287, 1)
(139859, 288, 1)
(231394, 476, 1)
(231685, 476, 1)
(231795, 476, 1)
(232430, 478, 1)
(4292, 9, 1)
(114868, 236, 1)
(220499, 453, 1)
(220855, 454, 1)
(116121, 239, 1)
(116120, 239, 1)
(116741, 240, 1)
(116977, 240, 1)
(117420, 241, 1)
(125702, 259, 1)
(126000, 259, 1)
(126082, 259, 1)
(127992, 263, 1)
(128532, 264, 1)
(128552, 264, 1)
(129720, 267, 1)
(145482, 299, 1)
(145525, 299, 1)
(146769, 302, 1)
(147245, 303, 1)
(147286, 303, 1)
(149188, 307, 1)
(240730, 495, 1)
(611835, 1257, 1)
(611931, 1257, 1)
(612178, 1258, 1)
(612195, 1258, 1)
(612488, 1258, 1)
(10545, 22, 1)
(12391, 26, 1)
(53281, 110, 1)
(53340, 110, 1)
(43340, 89, 1)
(155679, 320, 1)
(69370, 143, 1)
(69776, 144, 1)
(69879, 144, 1)
(72284, 149, 1)
(72737, 150, 1)
(246086, 506, 1)
(252600, 519, 1)
(253192, 520, 1)
(253234, 520, 1)
(461326, 948, 1)
(461461, 948, 1)
(411070, 845, 1)
(411178, 845, 1)
(411604, 846, 1)
(411653, 846, 1)
(447547, 919, 1)
(452663, 930, 1)
(452731, 930, 1)
(44267, 91, 1)
(44399, 92, 1)
(44791, 92, 1)
(172652, 355, 1)
(172875, 355, 1)
(50484, 104, 1)
(50754, 104, 1)
(57772, 119, 1)
(58053, 119, 1)
(54756, 113, 1)
(54981, 113, 1)
(55169, 113, 1)
(55342, 114, 1)
(55465, 114, 1)
(55705, 115, 1)
(170906, 351, 1)
(171151, 352, 1)
(183591, 378, 1)
(183833, 378, 1)
(193252, 397, 1)
(193708, 398, 1)
(277828, 571, 1)
(278478, 572, 1)
(288731, 593, 1)
(293607, 603, 1)
(293981, 604, 1)
(297434, 611, 1)
(421213, 865, 1)
(96997, 200, 1)
(97396, 200, 1)
(102038, 210, 1)
(102227, 210, 1)
(102243, 210, 1)
(105475, 217, 1)
(105746, 218, 1)
(106084, 218, 1)
(106388, 219, 1)
(116014, 238, 1)
(123539, 254, 1)
(124011, 255, 1)
(124212, 256, 1)
(127236, 262, 1)
(127407, 262, 1)
(127501, 262, 1)
(131736, 271, 1)
(132270, 272, 1)
(132369, 272, 1)
(150179, 309, 1)
(150334, 309, 1)
(212919, 438, 1)
(234558, 482, 1)
(234641, 482, 1)
(237781, 489, 1)
(238370, 490, 1)
(238462, 490, 1)
(121428, 250, 1)
(180144, 370, 1)
(183144, 377, 1)
(183361, 377, 1)
(219063, 450, 1)
(219094, 450, 1)
(325586, 669, 1)
(325782, 669, 1)
(325922, 670, 1)
(326017, 670, 1)
(333062, 685, 1)
(333668, 686, 1)
(336170, 691, 1)
(336455, 692, 1)
(336903, 692, 1)
(338280, 695, 1)
(440756, 906, 1)
(527892, 1085, 1)
(529800, 1088, 1)
(242308, 498, 1)
(247522, 509, 1)
(251727, 517, 1)
(255424, 525, 1)
(300660, 618, 1)
(519301, 1067, 1)
(519296, 1067, 1)
(500255, 1028, 1)
(500304, 1028, 1)
(504777, 1037, 1)
(505155, 1038, 1)
(598020, 1229, 1)
(598176, 1229, 1)
(598222, 1229, 1)
(598382, 1229, 1)
(599254, 1231, 1)
(258454, 531, 1)
(258571, 531, 1)
(258685, 532, 1)
(258977, 532, 1)
(463048, 951, 1)
(463334, 952, 1)
(463348, 952, 1)
(479345, 985, 1)
(479383, 985, 1)
(479489, 985, 1)
(480047, 986, 1)
(567983, 1167, 1)
(568151, 1167, 1)
(568704, 1168, 1)
