(164, 1, 1)
(49053, 246, 1)
(49179, 246, 1)
(49314, 247, 1)
(49704, 249, 1)
(3443, 18, 1)
(3928, 20, 1)
(14030, 71, 1)
(14060, 71, 1)
(14300, 72, 1)
(14652, 74, 1)
(6177, 31, 1)
(6411, 33, 1)
(6725, 34, 1)
(6791, 34, 1)
(7686, 39, 1)
(80611, 404, 1)
(80642, 404, 1)
(34709, 174, 1)
(34937, 175, 1)
(60369, 302, 1)
(135114, 676, 1)
(135169, 677, 1)
(135175, 677, 1)
(135482, 678, 1)
(84290, 422, 1)
(84416, 423, 1)
(84672, 424, 1)
(89205, 447, 1)
(89302, 447, 1)
(161223, 807, 1)
(232916, 1166, 1)
(233169, 1167, 1)
(233254, 1168, 1)
(233400, 1168, 1)
(240530, 1204, 1)
(240972, 1206, 1)
(1317, 7, 1)
(1402, 8, 1)
(137927, 691, 1)
(138023, 691, 1)
(5856, 30, 1)
(58342, 292, 1)
(51750, 259, 1)
(66298, 332, 1)
(102239, 512, 1)
(102601, 514, 1)
(104046, 521, 1)
(155435, 778, 1)
(155473, 778, 1)
(155837, 780, 1)
(159328, 798, 1)
(159887, 800, 1)
(172244, 862, 1)
(196425, 983, 1)
(202928, 1016, 1)
(202975, 1016, 1)
(203410, 1018, 1)
(228909, 1146, 1)
(229197, 1147, 1)
(229382, 1148, 1)
(249745, 1250, 1)
(236207, 1182, 1)
(236349, 1183, 1)
(237768, 1190, 1)
(238262, 1193, 1)
(243573, 1219, 1)
(244044, 1222, 1)
(2312, 12, 1)
(2739, 14, 1)
(16075, 81, 1)
(16264, 82, 1)
(16229, 82, 1)
(8409, 43, 1)
(18493, 93, 1)
(14812, 75, 1)
(92151, 462, 1)
(21963, 110, 1)
(25221, 127, 1)
(48447, 243, 1)
(128927, 646, 1)
(129249, 647, 1)
(129277, 647, 1)
(129294, 647, 1)
(129680, 649, 1)
(190575, 954, 1)
(119404, 598, 1)
(119473, 598, 1)
(119540, 599, 1)
(153105, 766, 1)
(143433, 718, 1)
(166230, 832, 1)
(166402, 833, 1)
(186226, 932, 1)
(195085, 977, 1)
(195207, 977, 1)
(195401, 978, 1)
(218704, 1095, 1)
(219204, 1097, 1)
(219255, 1098, 1)
(246463, 1234, 1)
(246798, 1235, 1)
(247231, 1237, 1)
(9784, 49, 1)
(85029, 426, 1)
(85037, 426, 1)
(85249, 427, 1)
(85434, 428, 1)
(85555, 428, 1)
(85610, 429, 1)
(10017, 51, 1)
(10364, 52, 1)
(10375, 52, 1)
(10623, 54, 1)
(10736, 54, 1)
(10824, 55, 1)
(31205, 157, 1)
(31404, 158, 1)
(31596, 158, 1)
(12003, 61, 1)
(62191, 311, 1)
(62375, 312, 1)
(191532, 959, 1)
(191682, 960, 1)
(191894, 961, 1)
(192024, 961, 1)
(192332, 963, 1)
(192395, 963, 1)
(230618, 1154, 1)
(35270, 177, 1)
(35306, 177, 1)
