(44, 1, 1)
(219, 2, 1)
(379, 2, 1)
(374, 2, 1)
(477, 3, 1)
(675, 4, 1)
(908, 5, 1)
(49060, 246, 1)
(49143, 246, 1)
(49164, 246, 1)
(49292, 247, 1)
(49601, 249, 1)
(3574, 18, 1)
(3657, 19, 1)
(3985, 20, 1)
(14330, 72, 1)
(14335, 72, 1)
(14404, 73, 1)
(14680, 74, 1)
(14747, 74, 1)
(6146, 31, 1)
(6176, 31, 1)
(6418, 33, 1)
(6506, 33, 1)
(6487, 33, 1)
(6540, 33, 1)
(6748, 34, 1)
(6803, 35, 1)
(6867, 35, 1)
(7421, 38, 1)
(7519, 38, 1)
(7531, 38, 1)
(7868, 40, 1)
(7959, 40, 1)
(7998, 40, 1)
(80150, 401, 1)
(80155, 401, 1)
(80268, 402, 1)
(80251, 402, 1)
(80471, 403, 1)
(80528, 403, 1)
(80581, 403, 1)
(80588, 403, 1)
(80694, 404, 1)
(80770, 404, 1)
(80879, 405, 1)
(80952, 405, 1)
(80974, 405, 1)
(182496, 914, 1)
(182498, 914, 1)
(182478, 914, 1)
(182611, 914, 1)
(182917, 916, 1)
(182944, 916, 1)
(16939, 85, 1)
(16959, 85, 1)
(34195, 171, 1)
(34288, 172, 1)
(34838, 175, 1)
(60046, 301, 1)
(60103, 301, 1)
(60159, 301, 1)
(60247, 302, 1)
(60345, 302, 1)
(60398, 302, 1)
(60465, 303, 1)
(48714, 244, 1)
(48864, 245, 1)
(48966, 245, 1)
(134984, 676, 1)
(134991, 676, 1)
(135059, 676, 1)
(135076, 676, 1)
(135313, 677, 1)
(135566, 679, 1)
(135590, 679, 1)
(135630, 679, 1)
(135720, 680, 1)
(147974, 741, 1)
(148030, 741, 1)
(148198, 742, 1)
(148239, 742, 1)
(148236, 742, 1)
(148283, 742, 1)
(60996, 305, 1)
(84007, 421, 1)
(84153, 421, 1)
(84165, 421, 1)
(84140, 421, 1)
(84242, 422, 1)
(84490, 423, 1)
(84611, 424, 1)
(84783, 424, 1)
(84887, 425, 1)
(89026, 446, 1)
(89124, 446, 1)
(89166, 446, 1)
(89400, 447, 1)
(94663, 474, 1)
(94742, 475, 1)
(94861, 475, 1)
(94885, 475, 1)
(109948, 551, 1)
(110022, 551, 1)
(110035, 551, 1)
(110041, 551, 1)
(110213, 552, 1)
(110483, 553, 1)
(110567, 554, 1)
(110704, 554, 1)
(110719, 555, 1)
(110740, 555, 1)
(110880, 555, 1)
(160976, 806, 1)
(161015, 806, 1)
(161037, 806, 1)
(232879, 1166, 1)
(232886, 1166, 1)
(232989, 1166, 1)
(233016, 1166, 1)
(233213, 1167, 1)
(233436, 1168, 1)
(240439, 1204, 1)
(240589, 1204, 1)
(240595, 1204, 1)
(240889, 1206, 1)
(241153, 1207, 1)
(241278, 1208, 1)
(241270, 1208, 1)
(241346, 1208, 1)
(1214, 7, 1)
(1277, 7, 1)
(1393, 7, 1)
(1464, 8, 1)
(1478, 8, 1)
(1749, 9, 1)
(138017, 691, 1)
(138084, 691, 1)
(138127, 692, 1)
(138252, 692, 1)
(138368, 693, 1)
(138370, 693, 1)
(138391, 693, 1)
(138399, 693, 1)
(5343, 27, 1)
(5582, 28, 1)
(5606, 29, 1)
(5618, 29, 1)
(5784, 29, 1)
(5989, 30, 1)
(58078, 291, 1)
(58071, 291, 1)
(58129, 291, 1)
(58180, 291, 1)
(58210, 292, 1)
(58214, 292, 1)
(58441, 293, 1)
(58458, 293, 1)
(58571, 293, 1)
(58765, 294, 1)
(49810, 250, 1)
(51104, 256, 1)
(51127, 256, 1)
(51199, 256, 1)
(51315, 257, 1)
(51505, 258, 1)
(51590, 258, 1)
(51600, 258, 1)
(51657, 259, 1)
(51684, 259, 1)
(51737, 259, 1)
(51947, 260, 1)
(51957, 260, 1)
(66263, 332, 1)
(66280, 332, 1)
(66386, 332, 1)
(66383, 332, 1)
(66418, 333, 1)
(66468, 333, 1)
(66495, 333, 1)
(89627, 449, 1)
(89638, 449, 1)
(89640, 449, 1)
(89696, 449, 1)
(89823, 450, 1)
(89918, 450, 1)
(101937, 511, 1)
(102165, 512, 1)
(102336, 513, 1)
(102615, 514, 1)
(102640, 514, 1)
(102778, 515, 1)
(104097, 521, 1)
(155352, 778, 1)
(155370, 778, 1)
(155420, 778, 1)
(155802, 780, 1)
(159185, 797, 1)
(159219, 797, 1)
(159459, 798, 1)
(159556, 799, 1)
(159755, 800, 1)
(159761, 800, 1)
(159884, 800, 1)
(171919, 861, 1)
(172017, 861, 1)
(172208, 862, 1)
(172197, 862, 1)
(172616, 864, 1)
(172777, 865, 1)
(172812, 865, 1)
(172851, 865, 1)
(196085, 982, 1)
(196244, 983, 1)
(202456, 1014, 1)
(202826, 1015, 1)
(202904, 1016, 1)
(202935, 1016, 1)
(202997, 1016, 1)
(203119, 1017, 1)
(204616, 1024, 1)
(204654, 1025, 1)
(228913, 1146, 1)
(228938, 1146, 1)
(229150, 1147, 1)
(229153, 1147, 1)
(229224, 1147, 1)
(229275, 1148, 1)
(249468, 1249, 1)
(249579, 1249, 1)
(249768, 1250, 1)
(249803, 1250, 1)
