DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, down_fsr, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0010521905496716499" 
0, comb, down_fsr, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00097139977151528001" 
0, comb, down_fsr, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.001334182801656425" 
0, comb, down_fsr, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00016882611089386046" 
0, comb, down_fsr, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00051261915359646082" 
0, comb, down_hdamp, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00016694291844032705" 
0, comb, down_hdamp, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00038612791104242206" 
0, comb, down_hdamp, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00017243444744963199" 
0, comb, down_hdamp, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00039069895865395665" 
0, comb, down_hdamp, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00035968827432952821" 
0, comb, down_hdamp, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00021559536980930716" 
0, comb, down_hdamp, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00014335177547764033" 
0, comb, down_hdamp, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00060759810730814934" 
0, comb, down_hdamp, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00010047887917608023" 
0, comb, down_hdamp, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-6.6777167376130819e-05" 
0, comb, down_hdamp, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00015445116150658578" 
0, comb, down_hdamp, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-6.8973778979852796e-05" 
0, comb, down_hdamp, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00015627958055119962" 
0, comb, down_hdamp, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00014387530973181129" 
0, comb, down_hdamp, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-8.6238149378914386e-05" 
0, comb, down_hdamp, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-5.7340708735864609e-05" 
0, comb, down_hdamp, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0002430392341921106" 
0, comb, down_hdamp, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-4.0191553125623614e-05" 
0, comb, down_isr, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0016361399320885539" 
0, comb, down_isr, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))+0.00033980805892497301" 
0, comb, down_isr, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0017281072214245796" 
0, comb, down_isr, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0024260461796075106" 
0, comb, down_isr, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0022022149059921503" 
0, comb, down_isr, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.001890519866719842" 
0, comb, down_isr, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0063259294256567955" 
0, comb, down_isr, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.015345821157097816" 
0, comb, down_isr, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.002339452737942338" 
0, comb, down_isr, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00065445597283542156" 
0, comb, down_isr, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))+0.00013592322648037225" 
0, comb, down_isr, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00069124286528676748" 
0, comb, down_isr, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00097041844855993986" 
0, comb, down_isr, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00088088592747226357" 
0, comb, down_isr, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00075620796997100115" 
0, comb, down_isr, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0025303717702627182" 
0, comb, down_isr, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0061383284628391266" 
0, comb, down_isr, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00093578110681846738" 
0, comb, down_jer, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00031282252166420221" 
0, comb, down_jer, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0027762092649936676" 
0, comb, down_jer, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00063364423112943769" 
0, comb, down_jer, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00072997319512069225" 
0, comb, down_jer, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00093526567798107862" 
0, comb, down_jer, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0021944399923086166" 
0, comb, down_jer, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.002259399276226759" 
0, comb, down_jer, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0017922690603882074" 
0, comb, down_jer, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00069591565988957882" 
0, comb, down_jer, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00012512900866568089" 
0, comb, down_jer, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.0011104836594313383" 
0, comb, down_jer, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00025345769245177507" 
0, comb, down_jer, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00029198927222751081" 
0, comb, down_jer, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00037410628283396363" 
0, comb, down_jer, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00087777595035731792" 
0, comb, down_jer, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00090375967556610703" 
0, comb, down_jer, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.00071690761251375079" 
